,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
296,1,1,1,1,-1,-1,-1,-1,0.625,-0.4664333,1
297,1,1,1,-1,-1,-1,-1,1,0.625,0.3330091,1
298,1,1,-1,1,-1,-1,-1,-1,0.75,-0.5596629000000001,1
299,1,-1,1,1,1,-1,-1,-1,0.625,-0.5956357000000001,2
300,1,-1,-1,1,-1,1,-1,-1,0.625,-0.0062946999999999725,1
301,-1,1,-1,-1,-1,1,-1,-1,0.625,0.1657473,1
302,1,1,-1,1,1,-1,1,1,0.75,0.6345001,1
303,1,-1,1,-1,1,-1,-1,1,0.625,0.16686269999999992,1
304,1,1,-1,-1,1,1,-1,-1,0.75,-0.3585842999999999,1
305,1,1,1,1,-1,1,-1,-1,0.625,0.22868510000000014,1
306,1,-1,1,-1,-1,-1,-1,-1,0.625,-0.08252869999999991,1
307,1,1,-1,-1,1,-1,1,1,0.625,0.5151940999999999,1
308,1,1,1,1,1,-1,1,1,0.625,0.49899369999999993,1
309,1,1,-1,1,-1,1,-1,1,0.5,-0.02996970000000003,1
310,1,1,-1,-1,-1,1,1,1,0.75,-0.2231633,1
311,1,1,-1,1,-1,1,-1,-1,0.625,0.07983069999999996,1
312,-1,-1,1,-1,1,-1,-1,1,0.5,0.3962533,1
313,1,1,-1,-1,-1,1,-1,-1,0.75,-0.23029930000000004,1
314,-1,1,1,1,1,1,1,1,0.625,0.02601470000000007,1
315,1,1,1,1,1,-1,1,1,0.75,0.49899369999999993,1
316,-1,1,-1,-1,1,-1,1,-1,0.375,0.6104363000000002,1
317,-1,1,1,1,1,-1,-1,-1,0.625,-0.0294397,1
318,1,1,-1,1,1,1,-1,1,0.625,-0.43737469999999995,1
319,1,-1,-1,-1,1,-1,-1,1,0.625,0.045865100000000034,1
320,1,1,-1,-1,1,1,-1,1,0.625,-0.8974038999999998,1
321,1,-1,-1,1,1,-1,-1,-1,0.625,-0.5928653,1
322,1,1,-1,-1,-1,-1,1,1,0.75,0.4984551,1
323,-1,1,1,1,-1,1,-1,1,0.625,0.2476993,1
324,-1,1,-1,1,1,-1,1,-1,0.625,0.47644309999999995,1
325,1,-1,1,-1,1,1,1,1,0.5,-0.6847673000000002,1
326,1,1,-1,-1,1,1,-1,1,0.625,-0.8974038999999998,1
